date,Kaizer Chiefs,Orlando Pirates,Sundowns,Premier League,Soccer Laduma,FIFA World Cup,Gambling,Tickets,Arsenal Store,Football
2024-08-12,4,2,2,3,1,0,0,3,0,9
2024-08-13,4,2,2,2,1,1,0,2,0,10
2024-08-14,4,2,2,3,1,1,0,3,0,10
2024-08-15,4,1,2,4,1,0,0,3,0,10
2024-08-16,4,2,2,13,1,0,0,3,0,15
2024-08-17,4,4,2,26,0,0,0,4,0,17
2024-08-18,3,10,2,18,0,0,0,4,0,16
2024-08-19,3,2,1,7,1,0,0,4,0,9
2024-08-20,4,2,1,5,1,0,0,3,0,13
2024-08-21,4,1,1,3,1,0,0,3,0,8
2024-08-22,3,2,1,3,1,0,0,3,0,11
2024-08-23,3,16,1,5,1,0,0,4,0,11
2024-08-24,3,6,2,23,0,0,0,4,0,18
2024-08-25,3,2,2,19,0,0,0,4,0,16
2024-08-26,3,2,2,5,1,0,0,4,0,9
2024-08-27,3,9,2,3,1,0,0,4,0,11
2024-08-28,3,27,14,3,1,0,0,5,0,10
2024-08-29,4,4,4,3,1,0,0,5,0,12
2024-08-30,4,2,2,5,1,0,0,7,0,12
2024-08-31,3,29,5,22,1,0,0,12,0,18
2024-09-01,4,4,20,22,1,0,0,7,0,20
2024-09-02,3,2,3,5,1,0,0,5,0,11
2024-09-03,5,2,1,3,1,1,0,5,0,14
2024-09-04,4,2,1,2,1,1,0,4,0,14
2024-09-05,4,1,1,2,1,1,0,6,0,28
2024-09-06,3,2,1,2,1,1,0,8,0,42
2024-09-07,3,2,1,4,0,1,0,9,0,41
2024-09-08,4,2,1,3,1,1,0,5,0,38
2024-09-09,4,1,1,2,1,1,0,4,0,32
2024-09-10,4,1,1,2,1,1,0,3,0,55
2024-09-11,4,2,1,2,1,1,0,5,0,20
2024-09-12,4,2,1,2,1,1,0,4,0,11
2024-09-13,5,2,2,4,1,1,0,5,0,12
2024-09-14,47,17,11,25,1,1,0,8,0,20
2024-09-15,10,4,5,21,1,1,0,5,0,16
2024-09-16,6,2,2,4,1,0,0,6,0,10
2024-09-17,6,3,25,3,1,0,0,6,0,13
2024-09-18,6,22,7,4,1,1,0,5,0,12
2024-09-19,5,7,2,3,1,0,0,13,0,10
2024-09-20,6,3,2,4,1,0,0,6,0,12
2024-09-21,7,14,9,23,1,0,0,5,0,19
2024-09-22,6,4,4,20,1,0,0,5,0,18
2024-09-23,4,3,2,6,1,1,0,5,0,12
2024-09-24,6,37,29,5,1,0,0,6,0,17
2024-09-25,53,4,5,4,1,0,0,7,0,13
2024-09-26,11,2,3,3,1,0,0,8,0,12
2024-09-27,6,2,5,4,1,0,0,11,0,11
2024-09-28,78,4,88,27,1,0,0,11,0,19
2024-09-29,8,30,8,19,1,0,0,4,0,19
2024-09-30,5,4,3,5,0,0,0,4,0,10
2024-10-01,3,2,2,3,0,0,0,6,0,11
2024-10-02,3,2,2,2,1,0,0,5,0,11
2024-10-03,3,2,2,3,0,0,0,6,0,11
2024-10-04,3,3,1,4,0,0,0,7,0,12
2024-10-05,4,55,3,24,0,1,0,7,0,20
2024-10-06,3,7,2,19,0,0,0,5,0,20
2024-10-07,3,3,1,4,1,0,0,3,0,11
2024-10-08,3,2,1,2,0,0,0,3,0,15
2024-10-09,2,2,1,2,0,0,0,3,0,14
2024-10-10,2,1,1,2,1,1,0,5,0,35
2024-10-11,2,1,1,2,1,1,0,4,0,59
2024-10-12,4,2,1,3,0,1,0,4,0,45
2024-10-13,16,2,1,2,0,1,0,4,0,38
2024-10-14,3,1,1,2,0,1,0,3,0,35
2024-10-15,2,1,1,2,0,1,0,3,0,50
2024-10-16,2,1,1,2,0,1,0,4,0,21
2024-10-17,2,1,1,2,0,0,0,4,0,11
2024-10-18,3,2,1,3,0,0,0,5,0,11
2024-10-19,51,45,29,19,1,0,0,6,0,20
2024-10-20,12,4,6,17,0,1,0,3,0,18
2024-10-21,5,2,3,5,0,1,0,4,0,9
2024-10-22,5,35,3,3,0,1,0,5,0,11
2024-10-23,5,8,23,3,1,1,0,4,0,12
2024-10-24,4,2,6,3,0,0,0,6,0,11
2024-10-25,4,33,3,5,0,0,0,9,0,12
2024-10-26,59,9,6,16,0,0,0,8,0,20
2024-10-27,7,3,19,20,0,1,0,4,0,17
2024-10-28,3,2,3,5,0,0,0,5,0,13
2024-10-29,4,30,3,3,1,1,0,5,0,13
2024-10-30,46,7,21,4,1,0,0,6,0,14
2024-10-31,9,2,5,3,1,0,0,7,0,11
2024-11-01,5,2,4,4,0,1,0,9,0,13
2024-11-02,84,3,100,25,1,0,0,9,0,20
2024-11-03,8,3,10,19,0,0,0,5,0,18
2024-11-04,3,2,3,4,0,0,0,8,0,9
2024-11-05,3,31,3,3,0,0,0,4,0,13
2024-11-06,4,6,14,3,0,0,0,5,0,11
2024-11-07,3,2,3,3,0,0,0,5,0,10
2024-11-08,3,2,2,4,0,1,0,5,0,11
2024-11-09,4,3,4,19,0,0,0,4,0,20
2024-11-10,3,2,26,21,0,0,0,6,1,20
2024-11-11,2,1,3,4,0,0,0,5,0,10
2024-11-12,2,1,2,2,0,0,0,4,0,16
2024-11-13,2,1,2,2,0,0,0,5,0,13
2024-11-14,2,1,1,1,0,1,0,5,0,29
2024-11-15,2,1,2,1,0,1,0,6,0,35
2024-11-16,15,1,12,3,1,1,0,5,0,26
2024-11-17,5,2,4,2,0,1,0,4,0,28
2024-11-18,3,1,2,1,0,1,0,6,0,22
2024-11-19,2,1,1,2,0,1,0,8,0,26
2024-11-20,2,1,1,2,0,1,0,4,0,13
2024-11-21,2,1,1,2,0,1,0,4,0,9
2024-11-22,2,1,2,4,0,0,0,4,0,10
2024-11-23,3,2,44,21,0,1,0,5,0,19
2024-11-24,2,2,6,20,0,1,0,4,0,16
2024-11-25,2,2,2,5,0,0,0,5,0,8
2024-11-26,3,20,10,3,0,0,0,6,0,10
2024-11-27,13,8,3,3,1,0,0,6,0,12
2024-11-28,4,2,1,2,0,0,0,6,0,10
2024-11-29,3,2,1,4,0,0,0,7,0,11
2024-11-30,49,4,19,16,0,0,0,7,0,18
2024-12-01,7,33,6,22,0,0,0,7,0,18
2024-12-02,3,3,2,7,0,1,0,5,0,9
2024-12-03,2,3,2,7,1,1,0,5,0,11
2024-12-04,2,2,1,17,0,1,0,5,0,15
2024-12-05,2,2,2,12,0,3,0,5,0,12
2024-12-06,2,3,2,6,1,6,0,6,0,10
2024-12-07,4,39,18,21,0,4,0,10,0,17
2024-12-08,18,5,8,20,1,2,0,6,0,15
2024-12-09,3,2,2,6,0,1,0,5,0,10
2024-12-10,2,3,6,3,1,1,0,5,0,11
2024-12-11,2,2,3,3,0,2,0,5,0,10
2024-12-12,2,2,2,3,0,2,0,5,0,11
2024-12-13,2,2,2,4,0,2,0,8,0,10
2024-12-14,3,13,4,18,0,1,0,7,0,15
2024-12-15,4,4,23,22,0,1,0,8,0,17
2024-12-16,40,3,4,10,0,1,0,8,0,12
2024-12-17,4,4,2,4,0,0,0,6,0,11
2024-12-18,2,3,11,4,0,2,0,6,0,13
2024-12-19,2,2,3,4,0,1,0,7,0,11
2024-12-20,2,2,2,4,0,1,0,6,0,11
2024-12-21,3,3,2,22,1,0,0,8,0,18
2024-12-22,2,2,2,22,0,1,0,6,0,16
2024-12-23,2,2,2,6,0,0,0,6,0,10
2024-12-24,3,52,28,5,1,0,0,6,0,12
2024-12-25,3,7,4,6,0,1,0,5,0,9
2024-12-26,2,3,2,31,0,0,0,6,0,17
2024-12-27,3,3,2,14,0,0,0,8,0,12
2024-12-28,4,4,12,11,0,0,0,8,0,14
2024-12-29,36,33,3,22,1,1,0,8,0,17
2024-12-30,5,4,1,15,0,0,0,6,0,13
2024-12-31,3,2,1,8,1,0,0,6,0,10
2025-01-01,3,2,1,10,1,0,0,5,0,13
2025-01-02,3,2,2,5,1,0,0,6,0,12
2025-01-03,3,3,2,4,1,1,0,7,0,11
2025-01-04,5,16,20,24,1,1,0,7,0,17
2025-01-05,40,4,8,20,1,1,0,6,0,16
2025-01-06,5,3,2,6,1,0,0,6,0,10
2025-01-07,3,3,2,4,1,0,0,6,0,11
2025-01-08,21,30,2,4,1,1,0,7,0,12
2025-01-09,6,6,2,3,1,0,0,5,0,10
2025-01-10,4,3,2,3,1,1,0,8,0,11
2025-01-11,5,5,15,5,1,1,0,7,0,16
2025-01-12,28,23,3,3,0,0,0,8,0,19
2025-01-13,3,3,1,2,0,0,0,7,0,10
2025-01-14,3,2,1,7,0,1,0,7,0,10
2025-01-15,2,2,1,8,0,1,0,6,0,11
2025-01-16,3,2,1,7,0,1,0,6,0,10
2025-01-17,3,2,1,5,1,1,0,8,0,11
2025-01-18,5,25,4,14,0,1,0,10,0,15
2025-01-19,29,5,20,13,1,1,0,7,0,14
2025-01-20,4,2,2,4,0,1,0,5,0,8
2025-01-21,3,2,2,3,0,0,0,5,0,11
2025-01-22,3,2,18,2,1,1,0,5,0,10
2025-01-23,3,3,3,2,0,0,0,5,0,11
2025-01-24,3,2,1,3,0,0,0,6,0,9
2025-01-25,5,3,8,15,0,1,0,6,0,17
2025-01-26,35,21,3,12,0,1,0,5,0,15
2025-01-27,6,2,1,4,1,0,0,5,0,9
2025-01-28,4,2,1,2,1,1,0,5,0,10
2025-01-29,3,2,1,2,1,1,0,5,0,12
2025-01-30,3,1,1,1,0,0,0,6,0,11
2025-01-31,3,2,1,2,0,0,0,8,0,11
2025-02-01,53,49,3,13,1,0,0,10,0,21
2025-02-02,4,4,18,14,0,1,0,7,0,15
2025-02-03,2,2,3,4,0,0,0,6,0,10
2025-02-04,29,2,2,3,0,0,0,5,0,11
2025-02-05,6,22,15,2,0,0,0,6,0,11
2025-02-06,2,4,4,2,0,1,0,5,0,11
2025-02-07,12,2,3,3,0,1,0,6,0,11
2025-02-08,6,45,71,4,0,1,0,9,0,18
2025-02-09,3,3,6,3,0,1,0,5,0,15
2025-02-10,2,2,3,2,0,1,0,4,0,10
2025-02-11,3,3,28,2,0,1,0,4,0,13
2025-02-12,2,2,7,4,0,1,0,4,0,13
2025-02-13,2,1,2,3,0,0,0,4,0,8
2025-02-14,2,2,2,4,0,0,0,6,0,10
2025-02-15,37,12,4,12,0,1,0,6,1,17
2025-02-16,6,2,22,12,0,1,0,4,0,16
2025-02-17,3,2,2,4,0,1,0,5,0,9
2025-02-18,35,2,2,2,0,1,0,4,0,11
2025-02-19,7,14,20,4,0,1,0,4,0,12
2025-02-20,2,4,5,3,0,1,0,4,0,10
2025-02-21,2,2,2,3,0,0,0,4,0,11
2025-02-22,3,32,26,13,0,1,0,6,0,16
2025-02-23,3,3,4,12,0,1,0,6,0,14
2025-02-24,2,2,2,3,0,0,0,8,0,8
2025-02-25,2,2,2,5,0,1,0,5,0,11
2025-02-26,2,2,16,9,0,1,0,5,0,13
2025-02-27,2,1,4,6,0,0,0,5,0,9
2025-02-28,2,2,2,3,0,1,0,9,0,9
2025-03-01,45,28,60,4,0,0,0,10,0,17
2025-03-02,3,4,4,3,0,1,0,8,0,15
2025-03-03,2,2,2,2,0,1,0,7,0,10
2025-03-04,24,2,2,2,0,1,0,6,0,12
2025-03-05,7,17,19,2,0,1,0,5,0,12
2025-03-06,2,5,5,2,0,1,0,4,0,10
2025-03-07,2,2,2,2,0,1,0,6,0,9
2025-03-08,20,43,10,12,0,1,0,8,0,18
2025-03-09,4,3,6,11,0,1,0,6,0,16
2025-03-10,2,2,3,3,0,1,0,6,0,9
2025-03-11,2,17,16,3,0,1,0,7,0,13
2025-03-12,24,5,4,2,0,1,0,5,0,13
2025-03-13,5,1,2,1,0,0,0,5,0,10
2025-03-14,2,2,2,2,0,1,0,6,0,11
2025-03-15,4,4,6,10,0,1,0,7,0,16
2025-03-16,22,51,67,11,0,1,0,8,0,19
2025-03-17,3,3,4,3,0,1,0,6,0,11
2025-03-18,2,2,2,2,0,1,0,4,0,12
2025-03-19,1,1,1,1,0,2,0,5,0,17
2025-03-20,1,1,1,1,0,4,0,5,0,38
2025-03-21,1,1,2,1,0,12,0,6,0,52
2025-03-22,1,1,2,2,0,8,0,4,0,35
2025-03-23,2,2,1,1,0,5,0,5,0,46
2025-03-24,1,1,1,1,0,5,0,4,0,32
2025-03-25,1,1,1,1,0,13,0,11,0,46
2025-03-26,1,1,1,1,0,9,0,15,0,22
2025-03-27,1,1,1,1,0,4,0,11,0,14
2025-03-28,2,2,33,2,0,2,0,12,0,13
2025-03-29,30,3,9,3,0,2,0,9,0,16
2025-03-30,4,3,2,3,0,1,0,6,0,15
2025-03-31,2,2,2,2,0,1,0,6,0,9
2025-04-01,2,24,28,5,0,2,0,5,0,13
2025-04-02,2,8,4,7,0,1,0,6,0,13
2025-04-03,2,2,2,5,0,2,0,6,0,11
2025-04-04,2,2,2,3,0,1,0,5,0,13
2025-04-05,30,23,3,10,0,1,0,7,0,15
2025-04-06,5,3,2,12,0,1,0,6,0,15
2025-04-07,2,2,2,3,0,1,0,6,0,10
2025-04-08,2,4,23,2,0,1,0,6,0,14
2025-04-09,2,27,9,1,0,1,0,7,0,12
2025-04-10,2,5,2,2,0,1,0,5,0,11
2025-04-11,2,2,2,2,0,1,0,6,0,11
2025-04-12,5,4,5,12,0,1,0,6,0,17
2025-04-13,58,34,64,11,0,1,0,15,0,18
2025-04-14,8,4,8,3,0,1,0,16,0,10
2025-04-15,3,2,2,2,0,1,0,12,0,11
2025-04-16,2,2,2,3,0,1,0,10,0,14
2025-04-17,2,2,2,2,0,1,0,9,0,11
2025-04-18,3,4,5,3,0,1,0,11,0,13
2025-04-19,32,20,39,10,0,1,0,13,0,16
2025-04-20,6,4,4,13,0,1,0,9,0,17
2025-04-21,2,2,2,5,0,1,0,7,0,12
2025-04-22,2,2,1,5,0,1,0,8,0,9
2025-04-23,2,2,2,5,0,1,0,16,0,10
2025-04-24,2,2,2,3,0,1,0,11,0,8
2025-04-25,2,18,44,2,0,1,0,14,0,13
2025-04-26,33,5,8,9,0,1,0,10,0,19
2025-04-27,4,2,2,12,0,1,0,7,0,17
2025-04-28,2,2,2,4,0,1,0,7,0,12
2025-04-29,2,3,2,2,0,1,0,8,0,12
2025-04-30,2,23,11,2,0,1,0,13,0,13
2025-05-01,2,5,3,3,0,1,0,11,0,14
2025-05-02,2,2,2,4,0,1,0,9,0,11
2025-05-03,77,75,17,10,0,1,0,13,0,18
2025-05-04,5,5,6,11,0,1,0,9,0,16
2025-05-05,4,4,2,4,0,1,0,68,0,9
2025-05-06,3,31,2,3,0,1,0,22,0,11
2025-05-07,2,7,22,2,0,1,0,15,0,12
2025-05-08,2,2,6,2,0,1,0,7,0,12
2025-05-09,3,2,2,3,0,1,0,8,0,10
2025-05-10,100,94,4,8,0,2,0,10,0,20
2025-05-11,9,6,13,12,0,1,0,4,0,18
2025-05-12,4,3,2,3,0,2,0,5,0,11
2025-05-13,4,32,2,2,0,2,0,7,0,10
2025-05-14,3,9,22,2,0,1,0,8,0,12
2025-05-15,3,2,7,2,0,1,0,9,0,11
2025-05-16,3,2,2,5,0,1,0,21,0,12
2025-05-17,39,26,4,7,0,1,0,9,0,17
2025-05-18,4,3,25,9,0,2,0,5,0,17
2025-05-19,3,2,4,4,0,2,0,5,0,10
2025-05-20,2,23,2,4,0,1,0,4,0,10
2025-05-21,2,6,1,3,0,1,0,4,0,11
2025-05-22,2,2,2,2,0,2,0,4,0,9
2025-05-23,2,2,2,2,0,1,0,8,0,9
2025-05-24,19,22,37,4,0,2,0,8,0,16
2025-05-25,3,3,4,13,0,3,0,4,0,15
2025-05-26,2,2,2,3,0,2,0,5,0,8
2025-05-27,2,2,2,1,0,2,0,4,0,8
2025-05-28,2,18,2,2,0,2,0,5,0,10
2025-05-29,2,6,1,1,0,2,0,4,0,9
2025-05-30,2,2,2,1,0,2,0,4,0,12
2025-05-31,2,2,7,2,0,4,0,6,0,20
2025-06-01,2,2,56,1,0,4,0,6,0,16
2025-06-02,2,1,6,1,0,3,0,4,0,13
2025-06-03,2,1,1,1,0,3,0,5,0,16
2025-06-04,2,1,1,1,0,3,0,4,0,21
2025-06-05,2,1,1,1,0,3,0,4,0,31
2025-06-06,2,1,1,1,0,4,0,5,0,34
2025-06-07,2,1,2,1,0,6,0,6,0,36
2025-06-08,2,1,2,1,0,6,0,6,0,47
2025-06-09,2,1,1,1,1,5,0,4,0,22
2025-06-10,2,1,2,1,0,7,0,5,0,31
2025-06-11,2,1,1,0,0,8,0,4,0,20
2025-06-12,2,1,2,1,0,8,0,5,0,12
2025-06-13,2,1,3,1,0,12,0,9,0,13
2025-06-14,2,1,3,1,0,26,0,7,0,15
2025-06-15,2,1,5,1,0,100,0,6,0,17
2025-06-16,3,2,5,1,0,69,0,4,0,15
2025-06-17,3,1,15,1,1,57,0,4,0,12
2025-06-18,2,1,25,2,0,76,0,4,0,13
2025-06-19,2,1,3,1,0,68,0,5,0,12
2025-06-20,2,1,4,1,0,78,0,5,0,13
2025-06-21,2,1,68,1,0,98,0,5,0,16
2025-06-22,2,2,11,1,0,97,0,5,0,13
2025-06-23,2,3,4,1,0,71,0,4,0,13
2025-06-24,3,2,5,0,0,80,0,6,0,12
2025-06-25,3,2,33,1,0,84,0,7,0,12
2025-06-26,2,2,13,1,0,60,0,6,0,11
2025-06-27,2,1,2,1,0,43,0,8,0,10
2025-06-28,2,1,2,1,0,53,0,10,0,13
2025-06-29,2,1,2,1,0,81,0,7,0,15
2025-06-30,3,1,1,0,0,49,0,6,0,12
2025-07-01,4,1,2,1,1,60,0,5,0,12
2025-07-02,3,2,1,1,1,36,0,6,0,12
2025-07-03,3,2,1,1,0,19,0,5,0,12
2025-07-04,3,1,1,1,1,36,0,7,0,12
